OmniMap_IDX,Resource,ResourceDiseaseID,ResourceDiseaseName,OmniDisease_ID,OmniDisease,MCode,DiseasePath,Receptors,ReceptorsStatus
20,JAX,80202,adenoid cystic carcinoma,OmniDx_0024,Uterine Cancer,MD-2681,Other Gynecological / Vulva / Epithelial tumors / Glandular tumors / Bartholin gland tumors / Adenoid cystic carcinoma,,
21,JAX,3950,adrenal carcinoma,OmniDx_0030,Endocrine Gland Cancer,MD-0230,Endocrine / Adrenal cortical adenoma,,
22,JAX,3950,adrenal carcinoma,OmniDx_0030,Endocrine Gland Cancer,MD-0231,Endocrine / Adrenal cortical carcinoma,,
23,JAX,3950,adrenal carcinoma,OmniDx_0033,Adrenal Gland Cancer,,,,
24,JAX,3950,adrenal carcinoma,OmniDx_0032,Brain and Nervous System Cancer,MD-1142,Brain / Tumors of Neuroepithelial Tissue / Neuroblastic tumours / Neuroblastomas of the adrenal gland and sympathetic nervous system,,
25,JAX,660,adrenal cortex cancer,OmniDx_0030,Endocrine Gland Cancer,MD-0230,Endocrine / Adrenal cortical adenoma,,
26,JAX,660,adrenal cortex cancer,OmniDx_0030,Endocrine Gland Cancer,MD-0231,Endocrine / Adrenal cortical carcinoma,,
27,JAX,3953,adrenal gland cancer,OmniDx_0032,Brain and Nervous System Cancer,MD-1142,Brain / Tumors of Neuroepithelial Tissue / Neuroblastic tumours / Neuroblastomas of the adrenal gland and sympathetic nervous system,,
28,JAX,50892,adrenal gland pheochromocytoma,OmniDx_0033,Adrenal Gland Cancer,MD-0235,Endocrine / Pheochromocytoma,,
29,JAX,5719,adrenal medulla cancer,OmniDx_0033,Adrenal Gland Cancer,MD-0235,Endocrine / Pheochromocytoma,,
30,JAX,7379,adrenal medulla carcinoma,OmniDx_0033,Adrenal Gland Cancer,MD-0235,Endocrine / Pheochromocytoma,,
31,JAX,3948,adrenocortical carcinoma,OmniDx_0030,Endocrine Gland Cancer,MD-0230,Endocrine / Adrenal cortical adenoma,,
32,JAX,3948,adrenocortical carcinoma,OmniDx_0030,Endocrine Gland Cancer,MD-0231,Endocrine / Adrenal cortical carcinoma,,
33,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1122,Brain / Tumors of Neuroepithelial Tissue / Glial tumours of uncertain origin / Gliomatosis cerebri,,
34,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-0315,Brain / Tumors of Neuroepithelial Tissue / Mixed gliomas,,
35,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1097,Brain / Tumors of Neuroepithelial Tissue / Mixed gliomas / Anaplastic oligoastrocytoma,,
36,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1145,Brain / Tumors of Neuroepithelial Tissue / Mixed gliomas / Oligoastrocytoma,,
37,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1096,Brain / Tumors of Neuroepithelial Tissue / Neuronal and mixed neuronal-glial tumours / Anaplastic ganglioglioma,,
38,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1120,Brain / Tumors of Neuroepithelial Tissue / Neuronal and mixed neuronal-glial tumours / Ganglioglioma,,
39,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1098,Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Anaplastic oligodendroglioma,,
40,JAX,4813,adult brain stem glioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1146,Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Oligodendroglioma,,
41,JAX,8282,adult epithelioid sarcoma,OmniDx_0068,Sarcoma,MD-1759,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Epithelioid sarcoma,,
42,JAX,8282,adult epithelioid sarcoma,OmniDx_0068,Sarcoma,MD-1826,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Malignant / Sclerosing epithelioid fibrosarcoma,,
43,JAX,8282,adult epithelioid sarcoma,OmniDx_0068,Sarcoma,MD-1978,Other Gynecological / Vulva / Soft tissue tumors / Proximal epithelioid sarcoma,,
44,JAX,3516,adult fibrosarcoma,OmniDx_0068,Sarcoma,MD-1731,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Malignant / Adult fibrosarcoma,,
45,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-0356,Breast / Mesenchymal tumors / Liposarcoma,,
46,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-1054,Mediastinum & Thymus / Mesenchymal tumors of the thymus and mediastinum / Liposarcoma of the mediastinum 8850|3,,
47,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-1132,"Brain / Tumors of the Meninges / Mesenchymal, non-meningothelial tumours / Liposarcoma (intracranial)",,
48,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-1707,Prostate / Tumors of the Seminal Vesicles / Mesenchymal tumors / Liposarcoma,,
49,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-1746,Soft Tissue / Adipocytic Tumours / Malignant / Dedifferentiated liposarcoma,,
50,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-1791,"Soft Tissue / Adipocytic Tumours / Malignant / Liposarcoma, not otherwise specified",,
51,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-1958,Other Gynecological / Vulva / Soft tissue tumors / Liposarcoma,,
52,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-2032,Bone / Other connective tissue tumors / Malignant / Liposarcoma,,
53,JAX,5693,adult liposarcoma,OmniDx_0046,Lipomatous Neoplasms,MD-2322,"Head & Neck / Hypopharynx, Larynx, and Trachea / Soft tissue tumors / Malignant tumors / Liposarcoma",,
56,JAX,3186,adult oligodendroglioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1098,Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Anaplastic oligodendroglioma,,
57,JAX,3186,adult oligodendroglioma,OmniDx_0032,Brain and Nervous System Cancer,MD-1146,Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours / Oligodendroglioma,,
58,JAX,3186,adult oligodendroglioma,OmniDx_0032,Brain and Nervous System Cancer,MD-0318,Brain / Tumors of Neuroepithelial Tissue / Oligodendroglial tumours,,
61,JAX,4051,alveolar rhabdomyosarcoma,OmniDx_0068,Sarcoma,MD-1732,Soft Tissue / Skeletal Muscle Tumours / Malignant / Alveolar rhabdomyosarcoma,,
62,JAX,4051,alveolar rhabdomyosarcoma,OmniDx_0068,Sarcoma,MD-2519,"Soft Tissue / Skeletal Muscle Tumours / Malignant / Alveolar rhabdomyosarcoma / (incl. solid, anaplastic)",,
63,JAX,4239,alveolar soft part sarcoma,OmniDx_0068,Sarcoma,MD-0384,Cervical / Mesenchymal tumors and tumor-like conditions / Alveolar soft part sarcoma,,
64,JAX,4239,alveolar soft part sarcoma,OmniDx_0068,Sarcoma,MD-1733,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Alveolar soft part sarcoma,,
65,JAX,4239,alveolar soft part sarcoma,OmniDx_0068,Sarcoma,MD-1926,Other Gynecological / Vulva / Soft tissue tumors / Alveolar soft part sarcoma,,
67,JAX,3502,ampulla of Vater adenocarcinoma,OmniDx_0025,Liver and Bile Duct Cancer,MD-2768,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / ampulla of Vater adenocarcinoma,,
68,JAX,4932,ampulla of Vater carcinoma,OmniDx_0025,Liver and Bile Duct Cancer,MD-2767,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / ampulla of Vater carcinoma,,
69,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2736,Anus / Epithelial tumors / Neuroendocrine neoplasms,,
70,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2737,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma,,
71,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2745,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor,,
72,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2746,"Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
73,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2747,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2),,
74,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2748,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell,,
75,JAX,50688,anal canal cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2749,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell,,
76,JAX,50688,anal canal cancer,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
77,JAX,50688,anal canal cancer,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
78,JAX,50688,anal canal cancer,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
79,JAX,50688,anal canal cancer,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
80,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2735,Anus / Epithelial tumors / Carcinoma,,
81,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2739,Anus / Epithelial tumors / Carcinoma / Paget disease,,
82,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
83,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2741,Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma,,
84,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2742,Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma,,
85,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2743,Anus / Epithelial tumors / Carcinoma / Adenocarcinoma,,
86,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2744,Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
87,JAX,50688,anal canal cancer,OmniDx_0003,Colorectal Cancer,MD-2750,Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma,,
88,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2736,Anus / Epithelial tumors / Neuroendocrine neoplasms,,
89,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2737,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma,,
90,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2745,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor,,
91,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2746,"Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
92,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2747,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2),,
93,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2748,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell,,
94,JAX,6126,anal canal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2749,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell,,
95,JAX,6126,anal canal carcinoma,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
96,JAX,6126,anal canal carcinoma,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
97,JAX,6126,anal canal carcinoma,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
98,JAX,6126,anal canal carcinoma,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
99,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2735,Anus / Epithelial tumors / Carcinoma,,
100,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2739,Anus / Epithelial tumors / Carcinoma / Paget disease,,
101,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
102,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2741,Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma,,
103,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2742,Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma,,
104,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2743,Anus / Epithelial tumors / Carcinoma / Adenocarcinoma,,
105,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2744,Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
106,JAX,6126,anal canal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2750,Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma,,
107,JAX,7177,anal canal squamous cell carcinoma,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
108,JAX,7177,anal canal squamous cell carcinoma,OmniDx_0063,Neuroendocrine Tumors,,,,
109,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2736,Anus / Epithelial tumors / Neuroendocrine neoplasms,,
110,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2737,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma,,
111,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2745,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor,,
112,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2746,"Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
113,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2747,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2),,
114,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2748,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell,,
115,JAX,4908,anal carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2749,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell,,
116,JAX,4908,anal carcinoma,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
117,JAX,4908,anal carcinoma,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
118,JAX,4908,anal carcinoma,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
119,JAX,4908,anal carcinoma,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
120,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2735,Anus / Epithelial tumors / Carcinoma,,
121,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2739,Anus / Epithelial tumors / Carcinoma / Paget disease,,
122,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
123,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2741,Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma,,
124,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2742,Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma,,
125,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2743,Anus / Epithelial tumors / Carcinoma / Adenocarcinoma,,
126,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2744,Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
127,JAX,4908,anal carcinoma,OmniDx_0003,Colorectal Cancer,MD-2750,Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma,,
128,JAX,12239,anal margin squamous cell carcinoma,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
129,JAX,5525,anal squamous cell carcinoma,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
130,JAX,5525,anal squamous cell carcinoma,OmniDx_0063,Neuroendocrine Tumors,,,,
133,JAX,1816,angiosarcoma,OmniDx_0068,Sarcoma,MD-0839,Soft Tissue / Vascular Tumours / Malignant,,
134,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2736,Anus / Epithelial tumors / Neuroendocrine neoplasms,,
135,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2737,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma,,
136,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2745,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor,,
137,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2746,"Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
138,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2747,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2),,
139,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2748,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell,,
140,JAX,14110,anus cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2749,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell,,
141,JAX,14110,anus cancer,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
142,JAX,14110,anus cancer,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
143,JAX,14110,anus cancer,OmniDx_0068,Sarcoma,MD-2751,Anus / Mesenchymal tumors / non-lipomatous sarcomas,,
144,JAX,14110,anus cancer,OmniDx_0068,Sarcoma,MD-2752,Anus / Mesenchymal tumors / lipomatous sarcomas,,
145,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2735,Anus / Epithelial tumors / Carcinoma,,
146,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2739,Anus / Epithelial tumors / Carcinoma / Paget disease,,
147,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2740,Anus / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
148,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2741,Anus / Epithelial tumors / Carcinoma / Verrucous carcinoma,,
149,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2742,Anus / Epithelial tumors / Carcinoma / Undifferentiated carcinoma,,
150,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2743,Anus / Epithelial tumors / Carcinoma / Adenocarcinoma,,
151,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2744,Anus / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
152,JAX,14110,anus cancer,OmniDx_0003,Colorectal Cancer,MD-2750,Anus / Epithelial tumors / Neuroendocrine neoplasms / Mixed adenoneuroendocrine carcinoma,,
154,JAX,3608,appendix adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1014,Appendix / Epithelial tumors / Mixed carcinoid-adenocarcinoma,,
155,JAX,3608,appendix adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2049,Appendix / Epithelial tumors / Carcinoma / Adenocarcinoma,,
156,JAX,3608,appendix adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2050,Appendix / Epithelial tumors / Carcinoma / Adenosquamous carcinoma,,
157,JAX,3608,appendix adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2061,Appendix / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
158,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-0030,Appendix,,
159,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-0243,Appendix / Epithelial tumors,,
160,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-0245,Appendix / Non-epithelial tumors,,
161,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-1004,Appendix / Epithelial tumors / Carcinoma,,
162,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-1014,Appendix / Epithelial tumors / Mixed carcinoid-adenocarcinoma,,
163,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2049,Appendix / Epithelial tumors / Carcinoma / Adenocarcinoma,,
164,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2050,Appendix / Epithelial tumors / Carcinoma / Adenosquamous carcinoma,,
165,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2060,Appendix / Epithelial tumors / Carcinoma / Medullary carcinoma,,
166,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2061,Appendix / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
167,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2064,Appendix / Epithelial tumors / Carcinoma / Signet-ring cell carcinoma,,
168,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2066,Appendix / Epithelial tumors / Carcinoma / Squamous cell carcinoma,,
169,JAX,11239,appendix cancer,OmniDx_0003,Colorectal Cancer,MD-2069,Appendix / Epithelial tumors / Carcinoma / Undifferentiated carcinoma,,
170,JAX,11239,appendix cancer,OmniDx_0005,Melanoma,MD-1013,Appendix / Non-epithelial tumors / Malignant melanoma,,
171,JAX,11239,appendix cancer,OmniDx_0046,Lipomatous Neoplasms,MD-1011,Appendix / Non-epithelial tumors / Lipoma,,
172,JAX,11239,appendix cancer,OmniDx_0042,Kaposi's Sarcoma,MD-1008,Appendix / Non-epithelial tumors / Kaposi sarcoma,,
173,JAX,11239,appendix cancer,OmniDx_0063,Neuroendocrine Tumors,MD-1003,Appendix / Epithelial tumors / Carcinoid (well differentiated endocrine neoplasm),,
174,JAX,11239,appendix cancer,OmniDx_0063,Neuroendocrine Tumors,MD-2065,Appendix / Epithelial tumors / Carcinoma / Small cell carcinoma,,
175,JAX,11239,appendix cancer,OmniDx_0068,Sarcoma,MD-1002,Appendix / Non-epithelial tumors / Angiosarcoma,,
176,JAX,11239,appendix cancer,OmniDx_0068,Sarcoma,MD-1005,Appendix / Non-epithelial tumors / Gastrointestinal stromal tumor,,
177,JAX,11239,appendix cancer,OmniDx_0068,Sarcoma,MD-1009,Appendix / Non-epithelial tumors / Leiomyoma,,
178,JAX,11239,appendix cancer,OmniDx_0068,Sarcoma,MD-1010,Appendix / Non-epithelial tumors / Leiomyosarcoma,,
179,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-0030,Appendix,,
180,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-0243,Appendix / Epithelial tumors,,
181,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-0245,Appendix / Non-epithelial tumors,,
182,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-1004,Appendix / Epithelial tumors / Carcinoma,,
183,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-1014,Appendix / Epithelial tumors / Mixed carcinoid-adenocarcinoma,,
184,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-2049,Appendix / Epithelial tumors / Carcinoma / Adenocarcinoma,,
185,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-2050,Appendix / Epithelial tumors / Carcinoma / Adenosquamous carcinoma,,
186,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-2060,Appendix / Epithelial tumors / Carcinoma / Medullary carcinoma,,
187,JAX,4902,appendix carcinoma,OmniDx_0003,Colorectal Cancer,MD-2061,Appendix / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
