GeneSymbol,Marker,ImmunePhenotype,Function,Therapies,DownloadDate,Version,VersionDate
CD8,CD8,Tumor Infiltrating Lymphocytes (TILs),Cytotoxic T-cells/T-regs,Bempegaldesleukin; Etirinotecan Pegol; SQZ-PBMC-HPV; ALKS 4230; ALT-803,01/06/2020,97,01/06/2020
CD80,CD80,T-cell Primed,Unknown,,01/06/2020,97,01/06/2020
CD86,CD86,T-cell Primed,Unknown,,01/06/2020,97,01/06/2020
CSF1R,CSF1R,Myeloid Suppression,Immunosuppressive,Cabiralizumab; Emactuzumab; ARRY-382; BLZ945; DCC-3014; IMC-CS4; JNJ-40346527; PD-0360324; SNDX-6352,01/06/2020,97,01/06/2020
CTLA4,CTLA4,Checkpoint Blockade (PD-1/CTLA4),Co-inhibitory,Ipilimumab; Tremelimumab; zalifrelimab; AGEN1181; BMS-986218; BMS-986249; INCB086550; MEDI5752; MGD019; MK-1308; REGN4659; XmAb20717; XmAb22841,01/06/2020,97,01/06/2020
CXCL10,CXCL10,Pro-inflammatory Response,Unknown,,01/06/2020,97,01/06/2020
CXCR6,CXCR6,Pro-inflammatory Response,Unknown,,01/06/2020,97,01/06/2020
DDX58,DDX58,Pro-inflammatory Response,Immunostimulatory,,01/06/2020,97,01/06/2020
ENTPD1,CD39,Metabolic Immune Escape,Immunosuppressive,,01/06/2020,97,01/06/2020
FOXP3,FOXP3,Tumor Infiltrating Lymphocytes (TILs),Cytotoxic T-cells/T-regs,,01/06/2020,97,01/06/2020
GATA3,GATA3,Other Immunotherapy Markers,Unknown,,01/06/2020,97,01/06/2020
GZMB,GZMB,T-cell Primed,Anti-tumor effector,,01/06/2020,97,01/06/2020
HAVCR2,TIM3,Checkpoint Blockade (Other),Co-inhibitory,BGB-A425; BMS-986258; INCAGN02390; LY3321367; MBG453; Sym023; TSR-022,01/06/2020,97,01/06/2020
ICOS,ICOS,T-cell Primed,Co-stimulatory,Vopratelimab; BMS-986226; GSK3359609; KY1044; MEDI-570,01/06/2020,97,01/06/2020
ICOSLG,ICOSLG,T-cell Primed,Co-stimulatory,,01/06/2020,97,01/06/2020
IDO1,IDO1,Metabolic Immune Escape,Immunosuppressive,Epacadostat; Indoximod; linrodostat; KHK2455; LY3381916; MK-7162; NLG802,01/06/2020,97,01/06/2020
IFNG,IFNG,T-cell Primed,Anti-tumor effector,,01/06/2020,97,01/06/2020
IL10,IL10,Anti-inflammatory Response,Anti-inflammatory,,01/06/2020,97,01/06/2020
IL1B,IL1B,Pro-inflammatory Response,Pro-inflammatory,,01/06/2020,97,01/06/2020
KLRD1,KLRD1,Tumor Infiltrating Lymphocytes (TILs),NK Cells,,01/06/2020,97,01/06/2020
LAG3,LAG3,Checkpoint Blockade (Other),Co-inhibitory,Relatlimab; eftilagimod alpha; BI 754111; BMS-986213; FS118; INCAGN02385; LAG525; MGD013; MK-4280; REGN3767; Sym022; TSR-033; XmAb22841,01/06/2020,97,01/06/2020
MS4A1,CD20,Tumor Infiltrating Lymphocytes (TILs),B-cells,,01/06/2020,97,01/06/2020
MX1,MX1,Pro-inflammatory Response,Immunostimulatory,,01/06/2020,97,01/06/2020
PDCD1,PD-1,Checkpoint Blockade (PD-1/CTLA4),Co-inhibitory,Budigalimab; Cemiplimab; Nivolumab; Pembrolizumab; Tislelizumab; cetrelimab; 609A; AGEN2034; AMG 404; BI 754091; BMS-986213; GLS-010; JTX-4014; LY3434172; MCLA-145; MEDI0680; MGA012; MGD013; MGD019; PDR001; PF-06801591; Sym021; TSR-042; XmAb20717,01/06/2020,97,01/06/2020
PDCD1LG2,PD-L2,Checkpoint Blockade (PD-1/CTLA4),Unknown,,01/06/2020,97,01/06/2020
STAT1,STAT1,Pro-inflammatory Response,Pro-inflammatory,,01/06/2020,97,01/06/2020
TBX21,TBX21,T-cell Primed,Unknown,,01/06/2020,97,01/06/2020
TGFB1,TGFB1,Anti-inflammatory Response,Anti-inflammatory,Fresolimumab; Galunisertib; M7824; NIS793; SAR-439459,01/06/2020,97,01/06/2020
TNF,TNF,Pro-inflammatory Response,Pro-inflammatory,Certolizumab; Infliximab; Lenalidomide; Thalidomide,01/06/2020,97,01/06/2020
TNFRSF14,TNFRSF14,Checkpoint Blockade (Other),Unknown,,01/06/2020,97,01/06/2020
TNFRSF18,GITR,T-cell Primed,Co-stimulatory,BMS-986156; GWN 323; INCAGN01876; MK-4166; TRX518,01/06/2020,97,01/06/2020
TNFRSF4,OX40,T-cell Primed,Co-stimulatory,Tavolimab; ABBV-368; BMS 986178; GSK3174998; PF-04518600,01/06/2020,97,01/06/2020
TNFRSF9,CD137,T-cell Primed,Co-stimulatory,Urelumab; Utomilumab; PRS-343,01/06/2020,97,01/06/2020
TNFSF4,OX-40L,T-cell Primed,Co-stimulatory,,01/06/2020,97,01/06/2020
